REGION_ID,REGION_NAME
600,Asia
601,Middle East and Africa
602,Europe
603,Asia
604,Middle East and Africa
605,Asia
606,Europe
607,Europe
608,Asia
609,Europe
610,Middle East and Africa
611,Americas
612,Middle East and Africa
613,Americas
614,Asia
615,Americas
616,Middle East and Africa
617,Americas
618,Middle East and Africa
619,Middle East and Africa
620,Middle East and Africa
621,Middle East and Africa
622,Asia
623,Americas
624,Asia
625,Americas
626,Middle East and Africa
627,Europe
628,Americas
629,Europe
630,Asia
631,Europe
632,Europe
633,Asia
634,Asia
635,Europe
636,Europe
637,Middle East and Africa
638,Asia
639,Europe
640,Middle East and Africa
641,Middle East and Africa
642,Asia
643,Asia
644,Asia
645,Middle East and Africa
646,Americas
647,Middle East and Africa
648,Europe
649,Europe
650,Americas
651,Europe
652,Asia
653,Europe
654,Europe
655,Europe
656,Europe
657,Asia
658,Americas
659,Asia
660,Asia
661,Europe
662,Middle East and Africa
663,Middle East and Africa
664,Europe
665,Americas
666,Americas
667,Europe
668,Americas
669,Middle East and Africa
670,Europe
671,Europe
672,Europe
673,Europe
674,Americas
675,Europe
676,Europe
677,Europe
678,Europe
679,Middle East and Africa
680,Europe
681,Americas
682,Americas
683,Asia
684,Middle East and Africa
685,Americas
686,Europe
687,Asia
688,Middle East and Africa
689,Asia
690,Middle East and Africa
691,Americas
692,Asia
693,Europe
694,Middle East and Africa
695,Americas
696,Middle East and Africa
697,Europe
698,Europe
699,Asia
700,Asia
701,Asia
702,Americas
703,Middle East and Africa
704,Europe
705,Americas
706,Americas
707,Middle East and Africa
708,Middle East and Africa
709,Europe
710,Americas
711,Americas
712,Americas
713,Middle East and Africa
714,Middle East and Africa
715,Middle East and Africa
716,Europe
717,Europe
718,Europe
719,Europe
720,Middle East and Africa
721,Europe
722,Middle East and Africa
723,Asia
724,Europe
725,Asia
726,Europe
727,Middle East and Africa
728,Europe
729,Middle East and Africa
730,Europe
731,Americas
732,Asia
733,Middle East and Africa
734,Europe
735,Americas
736,Asia
737,Middle East and Africa
738,Middle East and Africa
739,Middle East and Africa
740,Europe
741,Asia
742,Europe
743,Europe
744,Americas
745,Americas
746,Asia
747,Asia
748,Middle East and Africa
749,Asia
750,Europe
751,Middle East and Africa
752,Europe
753,Europe
754,Middle East and Africa
755,Europe
756,Europe
757,Americas
758,Middle East and Africa
759,Asia
760,Middle East and Africa
761,Americas
762,Middle East and Africa
763,Europe
764,Europe
765,Americas
766,Europe
767,Americas
768,Middle East and Africa
769,Middle East and Africa
770,Europe
771,Asia
772,Europe
773,Europe
774,Asia
775,Middle East and Africa
776,Europe
777,Europe
778,Middle East and Africa
779,Americas
780,Europe
781,Americas
782,Middle East and Africa
783,Middle East and Africa
784,Asia
785,Asia
786,Europe
787,Asia
788,Middle East and Africa
789,Middle East and Africa
790,Middle East and Africa
791,Europe
792,Middle East and Africa
793,Asia
794,Europe
795,Europe
796,Asia
797,Asia
798,Asia
799,Europe
800,Middle East and Africa
801,Americas
802,Asia
803,Middle East and Africa
804,Middle East and Africa
805,Europe
806,Europe
807,Europe
808,Asia
809,Americas
810,Asia
811,Europe
812,Asia
813,Europe
814,Americas
815,Asia
816,Europe
817,Europe
818,Middle East and Africa
819,Middle East and Africa
820,Middle East and Africa
821,Asia
822,Europe
823,Asia
824,Middle East and Africa
825,Europe
826,Europe
827,Middle East and Africa
828,Americas
829,Middle East and Africa
830,Asia
831,Asia
832,Europe
833,Middle East and Africa
834,Europe
835,Middle East and Africa
836,Asia
837,Asia
838,Europe
839,Europe
840,Middle East and Africa
841,Europe
842,Middle East and Africa
843,Europe
844,Europe
845,Europe
846,Europe
847,Europe
848,Middle East and Africa
849,Americas
850,Americas
851,Europe
852,Asia
853,Asia
854,Middle East and Africa
855,Europe
856,Europe
857,Middle East and Africa
858,Middle East and Africa
859,Europe
860,Americas
861,Europe
862,Middle East and Africa
863,Middle East and Africa
864,Europe
865,Americas
866,Europe
867,Europe
868,Europe
869,Asia
870,Americas
871,Americas
872,Middle East and Africa
873,Middle East and Africa
874,Europe
875,Americas
876,Americas
877,Middle East and Africa
878,Europe
879,Europe
880,Europe
881,Americas
882,Europe
883,Americas
884,Asia
885,Middle East and Africa
886,Americas
887,Middle East and Africa
888,Americas
889,Asia
890,Europe
891,Americas
892,Asia
893,Europe
894,Europe
895,Middle East and Africa
896,Asia
897,Europe
898,Americas
899,Middle East and Africa
900,Asia
901,Middle East and Africa
902,Europe
903,Europe
904,Middle East and Africa
905,Middle East and Africa
906,Middle East and Africa
907,Middle East and Africa
908,Europe
909,Middle East and Africa
910,Americas
911,Middle East and Africa
912,Europe
913,Americas
914,Europe
915,Middle East and Africa
916,Asia
917,Europe
918,Europe
919,Americas
920,Americas
921,Europe
922,Europe
923,Europe
924,Europe
925,Americas
926,Europe
927,Asia
928,Europe
929,Asia
930,Europe
931,Americas
932,Europe
933,Europe
934,Americas
935,Europe
936,Americas
937,Middle East and Africa
938,Asia
939,Middle East and Africa
940,Middle East and Africa
941,Europe
942,Europe
943,Europe
944,Middle East and Africa
945,Asia
946,Europe
947,Europe
948,Asia
949,Middle East and Africa
950,Europe
951,Asia
952,Europe
953,Middle East and Africa
954,Americas
955,Middle East and Africa
956,Europe
957,Americas
958,Asia
959,Europe
960,Americas
961,Americas
962,Europe
963,Europe
964,Americas
965,Americas
966,Asia
967,Europe
968,Americas
969,Middle East and Africa
970,Middle East and Africa
971,Europe
972,Asia
973,Asia
974,Europe
975,Americas
976,Middle East and Africa
977,Middle East and Africa
978,Middle East and Africa
979,Middle East and Africa
980,Europe
981,Middle East and Africa
982,Europe
983,Americas
984,Middle East and Africa
985,Americas
986,Europe
987,Asia
988,Asia
989,Asia
990,Middle East and Africa
991,Americas
992,Europe
993,Americas
994,Asia
995,Americas
996,Europe
997,Asia
998,Middle East and Africa
999,Middle East and Africa
1000,Europe
1001,Americas
1002,Middle East and Africa
1003,Middle East and Africa
1004,Americas
1005,Europe
1006,Asia
1007,Americas
1008,Europe
1009,Europe
1010,Asia
1011,Europe
1012,Middle East and Africa
1013,Americas
1014,Middle East and Africa
1015,Asia
1016,Europe
1017,Middle East and Africa
1018,Middle East and Africa
1019,Middle East and Africa
1020,Europe
1021,Asia
1022,Middle East and Africa
1023,Americas
1024,Americas
1025,Middle East and Africa
1026,Europe
1027,Americas
1028,Asia
1029,Americas
1030,Europe
1031,Asia
1032,Americas
1033,Middle East and Africa
1034,Asia
1035,Middle East and Africa
1036,Middle East and Africa
1037,Americas
1038,Middle East and Africa
1039,Europe
1040,Asia
1041,Americas
1042,Middle East and Africa
1043,Europe
1044,Europe
1045,Americas
1046,Asia
1047,Americas
1048,Asia
1049,Middle East and Africa
1050,Europe
1051,Europe
1052,Asia
1053,Europe
1054,Middle East and Africa
1055,Europe
1056,Middle East and Africa
1057,Europe
1058,Middle East and Africa
1059,Americas
1060,Middle East and Africa
1061,Europe
1062,Asia
1063,Middle East and Africa
1064,Americas
1065,Middle East and Africa
1066,Middle East and Africa
1067,Asia
1068,Middle East and Africa
1069,Middle East and Africa
1070,Europe
1071,Europe
1072,Europe
1073,Asia
1074,Americas
1075,Middle East and Africa
1076,Asia
1077,Europe
1078,Europe
1079,Middle East and Africa
1080,Europe
1081,Americas
1082,Middle East and Africa
1083,Asia
1084,Europe
1085,Asia
1086,Europe
1087,Asia
1088,Americas
1089,Americas
1090,Asia
1091,Middle East and Africa
1092,Europe
1093,Americas
1094,Europe
1095,Asia
1096,Europe
1097,Europe
1098,Asia
1099,Europe
1100,Asia
1101,Americas
1102,Middle East and Africa
1103,Middle East and Africa
1104,Americas
1105,Asia
1106,Middle East and Africa
1107,Asia
1108,Europe
1109,Middle East and Africa
1110,Americas
1111,Americas
1112,Americas
1113,Europe
1114,Middle East and Africa
1115,Americas
1116,Middle East and Africa
1117,Asia
1118,Europe
1119,Middle East and Africa
1120,Middle East and Africa
1121,Americas
1122,Middle East and Africa
1123,Middle East and Africa
1124,Europe
1125,Europe
1126,Europe
1127,Americas
1128,Americas
1129,Asia
1130,Middle East and Africa
1131,Europe
1132,Americas
1133,Europe
1134,Asia
1135,Americas
1136,Middle East and Africa
1137,Europe
1138,Europe
1139,Europe
1140,Middle East and Africa
1141,Middle East and Africa
1142,Asia
1143,Middle East and Africa
1144,Asia
1145,Asia
1146,Asia
1147,Europe
1148,Middle East and Africa
1149,Middle East and Africa
1150,Asia
1151,Middle East and Africa
1152,Europe
1153,Asia
1154,Europe
1155,Asia
1156,Europe
1157,Asia
1158,Europe
1159,Middle East and Africa
1160,Europe
1161,Americas
1162,Americas
1163,Europe
1164,Asia
1165,Europe
1166,Middle East and Africa
1167,Middle East and Africa
1168,Europe
1169,Americas
1170,Europe
1171,Americas
1172,Middle East and Africa
1173,Europe
1174,Middle East and Africa
1175,Middle East and Africa
1176,Middle East and Africa
1177,Americas
1178,Middle East and Africa
1179,Europe
1180,Europe
1181,Europe
1182,Americas
1183,Middle East and Africa
1184,Americas
1185,Asia
1186,Middle East and Africa
1187,Middle East and Africa
1188,Europe
1189,Europe
1190,Middle East and Africa
1191,Americas
1192,Americas
1193,Europe
1194,Asia
1195,Europe
1196,Americas
1197,Europe
1198,Europe
1199,Middle East and Africa
1200,Europe
1201,Middle East and Africa
1202,Americas
1203,Europe
1204,Middle East and Africa
1205,Europe
1206,Asia
1207,Asia
1208,Middle East and Africa
1209,Americas
1210,Europe
1211,Europe
1212,Asia
1213,Middle East and Africa
1214,Europe
1215,Asia
1216,Americas
1217,Middle East and Africa
1218,Asia
1219,Americas
1220,Middle East and Africa
1221,Americas
1222,Asia
1223,Asia
1224,Europe
1225,Americas
1226,Asia
1227,Europe
1228,Asia
1229,Middle East and Africa
1230,Europe
1231,Americas
1232,Asia
1233,Europe
1234,Europe
1235,Americas
1236,Middle East and Africa
1237,Asia
1238,Americas
1239,Asia
1240,Middle East and Africa
1241,Europe
1242,Americas
1243,Americas
1244,Asia
1245,Americas
1246,Americas
1247,Europe
1248,Middle East and Africa
1249,Middle East and Africa
1250,Middle East and Africa
1251,Americas
1252,Europe
1253,Middle East and Africa
1254,Asia
1255,Europe
1256,Asia
1257,Asia
1258,Americas
1259,Middle East and Africa
1260,Europe
1261,Europe
1262,Europe
1263,Europe
1264,Middle East and Africa
1265,Europe
1266,Middle East and Africa
1267,Middle East and Africa
1268,Europe
1269,Americas
1270,Americas
1271,Europe
1272,Europe
1273,Asia
1274,Middle East and Africa
1275,Europe
1276,Middle East and Africa
1277,Asia
1278,Americas
1279,Asia
1280,Asia
1281,Americas
1282,Middle East and Africa
1283,Europe
1284,Europe
1285,Europe
1286,Asia
1287,Americas
1288,Europe
1289,Asia
1290,Middle East and Africa
1291,Europe
1292,Europe
1293,Middle East and Africa
1294,Asia
1295,Americas
1296,Americas
1297,Asia
1298,Europe
1299,Middle East and Africa
1300,Europe
1301,Middle East and Africa
1302,Middle East and Africa
1303,Americas
1304,Europe
1305,Middle East and Africa
1306,Americas
1307,Europe
1308,Asia
1309,Middle East and Africa
1310,Asia
1311,Asia
1312,Middle East and Africa
1313,Middle East and Africa
1314,Europe
1315,Americas
1316,Americas
1317,Asia
1318,Americas
1319,Middle East and Africa
1320,Asia
1321,Europe
1322,Americas
1323,Asia
1324,Middle East and Africa
1325,Middle East and Africa
1326,Europe
1327,Asia
1328,Americas
1329,Asia
1330,Middle East and Africa
1331,Europe
1332,Europe
1333,Europe
1334,Asia
1335,Americas
1336,Middle East and Africa
1337,Asia
1338,Asia
1339,Americas
1340,Asia
1341,Middle East and Africa
1342,Middle East and Africa
1343,Middle East and Africa
1344,Europe
1345,Americas
1346,Americas
1347,Europe
1348,Europe
1349,Middle East and Africa
1350,Middle East and Africa
1351,Europe
1352,Americas
1353,Middle East and Africa
1354,Middle East and Africa
1355,Europe
1356,Americas
1357,Europe
1358,Europe
1359,Europe
1360,Europe
1361,Europe
1362,Europe
1363,Europe
1364,Middle East and Africa
1365,Middle East and Africa
1366,Europe
1367,Asia
1368,Americas
1369,Americas
1370,Middle East and Africa
1371,Asia
1372,Middle East and Africa
1373,Middle East and Africa
1374,Middle East and Africa
1375,Europe
1376,Middle East and Africa
1377,Europe
1378,Americas
1379,Middle East and Africa
1380,Middle East and Africa
1381,Middle East and Africa
1382,Americas
1383,Americas
1384,Middle East and Africa
1385,Europe
1386,Asia
1387,Middle East and Africa
1388,Middle East and Africa
1389,Europe
1390,Europe
1391,Americas
1392,Middle East and Africa
1393,Americas
1394,Middle East and Africa
1395,Europe
1396,Europe
1397,Asia
1398,Americas
1399,Europe
1400,Europe
1401,Middle East and Africa
1402,Asia
1403,Middle East and Africa
1404,Middle East and Africa
1405,Middle East and Africa
1406,Americas
1407,Asia
1408,Europe
1409,Asia
1410,Europe
1411,Europe
1412,Asia
1413,Middle East and Africa
1414,Asia
1415,Europe
1416,Americas
1417,Europe
1418,Europe
1419,Asia
1420,Middle East and Africa
1421,Middle East and Africa
1422,Middle East and Africa
1423,Middle East and Africa
1424,Europe
1425,Middle East and Africa
1426,Americas
1427,Asia
1428,Europe
1429,Middle East and Africa
1430,Middle East and Africa
1431,Asia
1432,Europe
1433,Americas
1434,Middle East and Africa
1435,Middle East and Africa
1436,Asia
1437,Middle East and Africa
1438,Europe
1439,Europe
1440,Americas
1441,Asia
1442,Americas
1443,Europe
1444,Europe
1445,Europe
1446,Europe
1447,Middle East and Africa
1448,Americas
1449,Middle East and Africa
1450,Americas
1451,Asia
1452,Americas
1453,Europe
1454,Middle East and Africa
1455,Asia
1456,Middle East and Africa
1457,Europe
1458,Middle East and Africa
1459,Middle East and Africa
1460,Middle East and Africa
1461,Europe
1462,Europe
1463,Europe
1464,Asia
1465,Asia
1466,Middle East and Africa
1467,Americas
1468,Americas
1469,Middle East and Africa
1470,Americas
1471,Middle East and Africa
1472,Europe
1473,Europe
1474,Asia
1475,Asia
1476,Middle East and Africa
1477,Americas
1478,Americas
1479,Middle East and Africa
1480,Asia
1481,Asia
1482,Middle East and Africa
1483,Middle East and Africa
1484,Americas
1485,Middle East and Africa
1486,Middle East and Africa
1487,Middle East and Africa
1488,Europe
1489,Europe
1490,Asia
1491,Europe
1492,Americas
1493,Middle East and Africa
1494,Europe
1495,Asia
1496,Middle East and Africa
1497,Asia
1498,Americas
1499,Middle East and Africa
1500,Asia
1501,Middle East and Africa
1502,Europe
1503,Middle East and Africa
1504,Americas
1505,Europe
1506,Americas
1507,Europe
1508,Europe
1509,Middle East and Africa
1510,Americas
1511,Middle East and Africa
1512,Americas
1513,Europe
1514,Americas
1515,Europe
1516,Middle East and Africa
1517,Europe
1518,Americas
1519,Europe
1520,Middle East and Africa
1521,Asia
1522,Americas
1523,Middle East and Africa
1524,Americas
1525,Middle East and Africa
1526,Americas
1527,Middle East and Africa
1528,Europe
1529,Europe
1530,Middle East and Africa
1531,Americas
1532,Asia
1533,Europe
1534,Asia
1535,Middle East and Africa
1536,Middle East and Africa
1537,Americas
1538,Middle East and Africa
1539,Middle East and Africa
1540,Americas
1541,Americas
1542,Middle East and Africa
1543,Europe
1544,Middle East and Africa
1545,Europe
1546,Europe
1547,Asia
1548,Asia
1549,Americas
1550,Europe
1551,Europe
1552,Asia
1553,Middle East and Africa
1554,Middle East and Africa
1555,Middle East and Africa
1556,Americas
1557,Middle East and Africa
1558,Europe
1559,Middle East and Africa
1560,Europe
1561,Americas
1562,Asia
1563,Europe
1564,Middle East and Africa
1565,Asia
1566,Middle East and Africa
1567,Europe
1568,Asia
1569,Europe
1570,Europe
1571,Middle East and Africa
1572,Europe
1573,Asia
1574,Europe
1575,Asia
1576,Middle East and Africa
1577,Europe
1578,Europe
1579,Europe
1580,Middle East and Africa
1581,Middle East and Africa
1582,Europe
1583,Europe
1584,Middle East and Africa
1585,Middle East and Africa
1586,Europe
1587,Middle East and Africa
1588,Europe
1589,Europe
1590,Europe
1591,Europe
1592,Asia
1593,Middle East and Africa
1594,Asia
1595,Europe
1596,Americas
1597,Middle East and Africa
1598,Americas
1599,Europe
